time,latitude,longitude,depth,mag,magType,rms,net,id,updated,place,type,status,locationSource,magSource
2019-05-23T01:32:53.310Z,18.5911,-65.267,75,3.48,md,0.36,pr,pr2019143000,2019-05-23T02:19:41.040Z,"44km N of Culebra, Puerto Rico",earthquake,reviewed,pr,pr
2019-05-23T00:59:25.420Z,-34.7971,-71.8098,48.09,4.1,mwr,0.56,us,us60003qzn,2019-05-23T05:08:41.620Z,"44km WSW of Santa Cruz, Chile",earthquake,reviewed,us,us
2019-05-23T00:05:47.663Z,66.1922,-157.2606,11.9,2.8,ml,0.79,ak,ak0196khvssg,2019-05-24T03:15:52.040Z,"73km SSW of Kobuk, Alaska",earthquake,automatic,ak,ak
2019-05-22T23:39:57.905Z,37.8169,21.2105,10,4.2,mb,1.15,us,us60003qzf,2019-05-24T02:59:58.040Z,"5km SW of Gastouni, Greece",earthquake,reviewed,us,us
2019-05-22T22:42:29.074Z,-38.4098,-72.2377,82.56,4.4,mb,1.33,us,us60003qyv,2019-05-23T02:43:41.826Z,"22km ENE of Lautaro, Chile",earthquake,reviewed,us,us
2019-05-22T21:55:32.124Z,18.7122,-107.2225,10,4.7,mb,1.12,us,us60003qyp,2019-05-22T22:20:08.040Z,"247km WSW of Tomatlan, Mexico",earthquake,reviewed,us,us
2019-05-22T21:16:32.022Z,15.3205,-94.4544,35,4.7,mb,1.16,us,us60003qxv,2019-05-22T21:57:57.969Z,"100km SW of Paredon, Mexico",earthquake,reviewed,us,us
2019-05-22T20:47:37.954Z,60.6629,-151.675,67.2,3.1,ml,0.6,ak,ak0196j6i3r3,2019-05-22T20:54:16.941Z,"21km W of Nikiski, Alaska",earthquake,automatic,ak,ak
2019-05-22T20:45:31.670Z,19.2168,-64.571,18,3.01,md,0.3,pr,pr2019142006,2019-05-23T04:48:04.836Z,"88km N of Road Town, British Virgin Islands",earthquake,reviewed,pr,pr
2019-05-22T19:51:58.760Z,45.8615,-111.3661667,5.48,2.57,ml,0.16,mb,mb80345099,2019-05-22T21:56:54.988Z,"2km WNW of Manhattan, Montana",earthquake,reviewed,mb,mb
2019-05-22T18:10:05.965Z,-15.373,-173.0679,10,5.1,mb,1.91,us,us60003qsv,2019-05-22T18:29:09.040Z,"97km NE of Hihifo, Tonga",earthquake,reviewed,us,us
2019-05-22T17:36:19.695Z,-35.7741,-99.9665,10,5.4,mww,1.16,us,us60003qs2,2019-05-23T17:37:48.301Z,Southeast of Easter Island,earthquake,reviewed,us,us
2019-05-22T14:27:17.788Z,61.397,-149.9639,33.2,2.8,ml,0.71,ak,ak0196j2t694,2019-05-23T07:10:35.040Z,"13km S of Big Lake, Alaska",earthquake,automatic,ak,ak
2019-05-22T13:30:17.609Z,47.1795,151.7658,135.4,4.3,mb,0.66,us,us60003qnb,2019-05-23T07:07:36.040Z,"287km SE of Vostok, Russia",earthquake,reviewed,us,us
2019-05-22T12:55:54.565Z,24.9866,95.1532,102.99,4.4,mb,0.73,us,us60003qkr,2019-05-22T13:12:15.040Z,"100km SE of Phek, India",earthquake,reviewed,us,us
2019-05-22T11:53:14.442Z,-24.508,-179.6405,488.96,4.6,mb,1.14,us,us60003qk9,2019-05-22T12:19:38.040Z,South of the Fiji Islands,earthquake,reviewed,us,us
2019-05-22T11:50:44.886Z,-10.236,108.5875,10,4.7,mb,0.57,us,us60003qk5,2019-05-22T12:05:12.040Z,"268km S of Citotok, Indonesia",earthquake,reviewed,us,us
2019-05-22T10:52:19.637Z,4.3586,126.8888,35,4.8,mb,0.73,us,us60003qjs,2019-05-22T11:21:22.040Z,"195km SE of Sarangani, Philippines",earthquake,reviewed,us,us
2019-05-22T08:26:06.680Z,32.0611667,-116.3651667,22.87,2.48,ml,0.17,ci,ci38601560,2019-05-22T16:23:19.337Z,"32km NE of Ensenada, B.C., MX",earthquake,reviewed,ci,ci
2019-05-22T08:23:09.580Z,32.4455,-115.4738333,18.66,2.45,ml,0.27,ci,ci38601552,2019-05-22T16:09:11.110Z,"17km SW of Puebla, B.C., MX",earthquake,reviewed,ci,ci
2019-05-22T06:59:13.590Z,32.9751667,-116.2793333,3.84,2.66,ml,0.2,ci,ci38601480,2019-05-23T04:03:53.125Z,"23km SW of Ocotillo Wells, CA",earthquake,reviewed,ci,ci
2019-05-22T06:53:56.260Z,36.1191667,-117.6705,2.14,3.32,ml,0.16,ci,ci38601472,2019-05-22T14:18:00.804Z,"26km ENE of Coso Junction, CA",earthquake,reviewed,ci,ci
2019-05-22T06:51:21.750Z,38.808,-122.816,1.54,3.03,ml,0.07,nc,nc73185161,2019-05-24T12:06:27.764Z,"6km WNW of The Geysers, CA",earthquake,reviewed,nc,nc
2019-05-22T04:23:12.483Z,-40.439,-72.9539,63.04,4.6,mwr,1.01,us,us60003qhg,2019-05-22T22:57:49.212Z,"13km S of Rio Bueno, Chile",earthquake,reviewed,us,us
2019-05-22T04:13:31.098Z,14.2267,-91.0974,89.13,4.4,mb,1.29,us,us60003qhe,2019-05-22T22:36:43.919Z,"14km SW of Santa Lucia Cotzumalguapa, Guatemala",earthquake,reviewed,us,us
2019-05-22T04:06:09.900Z,66.0097,-166.2766,3.2,2.7,ml,0.81,ak,ak0196iwqblq,2019-05-22T04:13:53.438Z,"29km SSW of Shishmaref, Alaska",earthquake,automatic,ak,ak
2019-05-22T03:55:40.201Z,36.992,-104.949,8.35,3.1,ml,0.9,us,us60003qh8,2019-05-22T04:39:08.040Z,"44km WSW of Trinidad, Colorado",earthquake,reviewed,us,us
2019-05-22T03:48:59.467Z,53.394,6.5861,10,3.2,ml,0.88,us,us60003qi1,2019-05-22T21:02:48.202Z,"8km NNE of Winsum, Netherlands",earthquake,reviewed,us,us
2019-05-22T02:37:58.120Z,19.0478,-64.8531,40,2.85,md,0.43,pr,pr2019142002,2019-05-22T05:25:56.388Z,"74km NNW of Road Town, British Virgin Islands",earthquake,reviewed,pr,pr
2019-05-22T02:24:45.620Z,-22.4689,-65.9842,252.92,4.5,mb,1.09,us,us60003qh3,2019-05-22T03:09:25.040Z,"40km NW of Abra Pampa, Argentina",earthquake,reviewed,us,us
2019-05-22T01:51:32.280Z,18.8768,-67.3713,21,2.93,md,0.4,pr,pr2019142001,2019-05-22T05:25:12.676Z,"51km NW of San Antonio, Puerto Rico",earthquake,reviewed,pr,pr
2019-05-22T01:39:56.379Z,-7.1463,129.1553,173.59,4.7,mb,0.87,us,us60003qgi,2019-05-22T01:56:15.040Z,"254km WNW of Saumlaki, Indonesia",earthquake,reviewed,us,us
2019-05-22T01:37:24.778Z,23.9315,121.6498,25.62,4.4,mwr,0.7,us,us60003qgn,2019-05-22T02:26:17.040Z,"6km SE of Hualian, Taiwan",earthquake,reviewed,us,us
2019-05-22T01:30:24.040Z,19.177,-64.9738,37,3.39,md,0.26,pr,pr2019142000,2019-05-22T03:15:19.040Z,"74km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,reviewed,pr,pr
2019-05-22T00:39:32.075Z,13.885,92.9467,10,5.6,mww,0.92,us,us60003qg7,2019-05-23T00:42:17.116Z,"243km N of Bamboo Flat, India",earthquake,reviewed,us,us
2019-05-22T00:06:54.953Z,69.5591,-144.7061,0.5,3.1,ml,0.76,ak,ak0196iucomy,2019-05-22T02:12:16.040Z,"76km SSW of Kaktovik, Alaska",earthquake,automatic,ak,ak
2019-05-21T23:17:34.096Z,60.4763,-151.5183,61.2,3.4,ml,0.65,ak,ak0196hkkmcm,2019-05-21T23:55:16.040Z,"14km WNW of Kalifornsky, Alaska",earthquake,automatic,ak,ak
2019-05-21T23:13:13.430Z,19,-67.4528,39,2.75,md,0.45,pr,pr2019141005,2019-05-22T05:24:23.280Z,"67km NNW of San Antonio, Puerto Rico",earthquake,reviewed,pr,pr
2019-05-21T21:19:50.959Z,1.0557,-85.1241,10,5.3,mww,0.72,us,us60003qf5,2019-05-22T16:45:00.040Z,Off the coast of Ecuador,earthquake,reviewed,us,us
2019-05-21T21:06:00.490Z,19.2211,-68.5851,83,3.3,md,0.58,pr,pr2019141004,2019-05-24T03:25:24.040Z,"63km ENE of Miches, Dominican Republic",earthquake,reviewed,pr,pr
2019-05-21T20:58:36.963Z,35.9981,-97.3142,1.19,2.9,mb_lg,0.31,us,us60003qef,2019-05-22T21:09:19.980Z,"7km NW of Langston, Oklahoma",earthquake,reviewed,us,us
2019-05-21T20:54:51.866Z,19.0393,146.0718,88.51,4.6,mb,0.73,us,us60003qel,2019-05-22T21:04:42.040Z,"52km NE of Agrihan, Northern Mariana Islands",earthquake,reviewed,us,us
2019-05-21T19:30:47.848Z,35.422,-97.9003,5,2.5,mb_lg,0.99,us,us60003qcs,2019-05-22T21:00:16.040Z,"5km NE of Union City, Oklahoma",earthquake,reviewed,us,us
2019-05-21T19:25:13.268Z,-30.4914,-71.3264,57.46,4.5,mwr,0.82,us,us60003qcj,2019-05-22T20:50:45.181Z,"16km NW of Ovalle, Chile",earthquake,reviewed,us,us
2019-05-21T19:16:00.786Z,35.1069,-96.3137,11.63,2.9,mb_lg,1.28,us,us60003qcd,2019-05-22T20:35:54.192Z,"8km ENE of Holdenville, Oklahoma",earthquake,reviewed,us,us
2019-05-21T19:05:58.652Z,-34.6265,-179.8495,41.81,4.9,mb,0.73,us,us60003qcc,2019-05-22T20:24:37.040Z,South of the Kermadec Islands,earthquake,reviewed,us,us
2019-05-21T18:49:55.518Z,-8.3504,160.0295,62.98,4.7,mb,0.59,us,us60003qcr,2019-05-22T20:16:53.583Z,"53km ESE of Buala, Solomon Islands",earthquake,reviewed,us,us
2019-05-21T18:42:47.464Z,0.9733,122.0896,49.74,5.1,mww,0.96,us,us70003p1q,2019-05-22T19:57:29.660Z,"53km E of Bunobogu, Indonesia",earthquake,reviewed,us,us
2019-05-21T17:19:52.890Z,40.6948333,-123.9636667,21.45,3.78,mw,0.11,nc,nc73184841,2019-05-25T06:13:35.298Z,"16km ESE of Pine Hills, CA",earthquake,reviewed,nc,nc
2019-05-21T17:19:09.514Z,60.501,-143.1525,1.5,2.6,ml,0.78,ak,ak0196hh0e7p,2019-05-22T18:58:36.040Z,"66km NW of Cape Yakataga, Alaska",earthquake,reviewed,ak,ak
2019-05-21T16:36:50.829Z,-14.0972,167.3294,146.4,4.5,mb,0.89,us,us70003p00,2019-05-21T19:31:01.040Z,"33km SW of Sola, Vanuatu",earthquake,reviewed,us,us
2019-05-21T15:47:00.120Z,31.2125,-115.9038333,8.96,3.66,ml,0.07,ci,ci38600992,2019-05-22T19:31:54.733Z,"84km SE of Maneadero, B.C., MX",earthquake,reviewed,ci,ci
2019-05-21T15:28:04.880Z,17.8575,-66.5223,24,2.48,md,0.16,pr,pr2019141003,2019-05-21T16:01:16.040Z,"12km SSW of Potala Pastillo, Puerto Rico",earthquake,reviewed,pr,pr
2019-05-21T13:45:54.733Z,66.3266,-156.9448,0,2.6,ml,0.83,ak,ak0196hesbv9,2019-05-21T16:12:08.040Z,"67km S of Kobuk, Alaska",earthquake,automatic,ak,ak
2019-05-21T13:37:42.192Z,-15.8459,-72.0201,30.34,5.1,mww,0.96,us,us70003nxk,2019-05-21T22:59:52.114Z,"18km N of Lluta, Peru",earthquake,reviewed,us,us
2019-05-21T13:23:17.771Z,66.3072,-156.9214,0.2,3.3,ml,0.79,ak,ak0196henj8c,2019-05-21T16:10:47.040Z,"69km S of Kobuk, Alaska",earthquake,automatic,ak,ak
2019-05-21T11:30:21.440Z,36.9743333,-113.5118333,7.68,2.58,ml,0.1,uu,uu60325497,2019-05-22T02:04:27.427Z,"15km SSE of Saint George, Utah",earthquake,reviewed,uu,uu
2019-05-21T11:11:28.580Z,47.11383333,-124.0836667,34.03,3.38,ml,0.15,uw,uw61523611,2019-05-23T17:50:21.332Z,"16km NNE of Ocean Shores, Washington",earthquake,reviewed,uw,uw
2019-05-21T10:12:29.441Z,59.1339,-152.9977,70.4,3.8,ml,1.12,ak,ak0196hcswgq,2019-05-21T10:46:33.861Z,"97km SW of Anchor Point, Alaska",earthquake,reviewed,ak,ak
2019-05-21T08:58:20.303Z,37.8741,21.1914,10,4.7,mb,1.26,us,us70003nvj,2019-05-21T12:26:45.040Z,"1km NW of Vartholomion, Greece",earthquake,reviewed,us,us
2019-05-21T07:18:59.650Z,-23.1586,-66.6853,191.97,5,mb,1.15,us,us70003nut,2019-05-21T17:49:50.040Z,"101km W of El Aguilar, Argentina",earthquake,reviewed,us,us
2019-05-21T07:00:48.910Z,18.313,-68.341,81,2.64,md,0.45,pr,pr2019141000,2019-05-21T11:56:04.387Z,"29km ESE of Boca de Yuma, Dominican Republic",earthquake,reviewed,pr,pr
2019-05-21T06:33:04.414Z,-41.346,-88.5826,10,5.3,mb,0.88,us,us70003nun,2019-05-21T16:41:37.040Z,West Chile Rise,earthquake,reviewed,us,us
2019-05-21T06:30:25.319Z,69.5661,-144.2408,0,2.6,ml,0.78,ak,ak0196haj0ou,2019-05-21T06:36:23.672Z,"67km SSW of Kaktovik, Alaska",earthquake,automatic,ak,ak
2019-05-21T06:01:17.550Z,62.4301,-151.1067,70.8,2.5,ml,0.73,ak,ak0196hacs94,2019-05-21T06:07:57.476Z,"52km WNW of Talkeetna, Alaska",earthquake,automatic,ak,ak
2019-05-21T05:01:06.031Z,66.8356,-152.7693,0,2.8,ml,0.64,ak,ak0196h9rbsv,2019-05-21T05:06:12.931Z,"33km N of New Allakaket, Alaska",earthquake,automatic,ak,ak
2019-05-21T04:04:40.009Z,-2.7447,150.136,10,4.9,mb,1.7,us,us70003nu3,2019-05-21T04:44:39.040Z,"75km WSW of Kavieng, Papua New Guinea",earthquake,reviewed,us,us
2019-05-21T03:45:12.361Z,75.5505,110.1839,10,4.8,mb,0.81,us,us70003ntt,2019-05-21T04:20:11.040Z,"173km NNW of Nordvik, Russia",earthquake,reviewed,us,us
2019-05-21T03:22:15.380Z,59.6734,-153.0489,96.7,2.6,ml,0.49,ak,ak0196h8oyn5,2019-05-21T03:28:59.023Z,"69km W of Anchor Point, Alaska",earthquake,automatic,ak,ak
2019-05-21T03:12:55.782Z,61.4621,-149.64,43.6,3.6,ml,0.94,ak,ak0196h8mxap,2019-05-22T03:14:44.656Z,"6km SSW of Knik-Fairview, Alaska",earthquake,reviewed,ak,ak
2019-05-20T23:55:29.881Z,56.218,-149.9599,10,2.7,ml,1.02,us,us70003nsx,2019-05-21T02:43:56.040Z,"229km SE of Kodiak, Alaska",earthquake,reviewed,us,us
2019-05-20T22:50:38.540Z,19.4258333,-155.6138333,-1.26,2.76,ml,0.16,hv,hv70961751,2019-05-22T04:11:15.040Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,reviewed,hv,hv
2019-05-20T22:41:54.830Z,19.4263333,-155.6115,-2.79,2.81,ml,0.14,hv,hv70961731,2019-05-22T04:10:29.040Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,reviewed,hv,hv
2019-05-20T22:14:26.770Z,18.9708,-66.8026,11,2.73,md,0.19,pr,pr2019140009,2019-05-21T00:43:28.659Z,"53km N of Hatillo, Puerto Rico",earthquake,reviewed,pr,pr
2019-05-20T20:55:56.770Z,19.1898,-65.1626,58,3.42,md,0.27,pr,pr2019140008,2019-05-21T00:42:50.867Z,"96km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,reviewed,pr,pr
2019-05-20T20:35:56.830Z,48.23,-124.3448333,36.96,2.45,ml,0.29,uw,uw61523596,2019-05-20T20:47:50.510Z,"25km SE of Neah Bay, Washington",earthquake,reviewed,uw,uw
2019-05-20T19:19:07.929Z,59.8385,-153.3275,120.4,2.6,ml,0.68,ak,ak0196funwu9,2019-05-20T19:29:21.732Z,"79km SSW of Redoubt Volcano, Alaska",earthquake,automatic,ak,ak
2019-05-20T19:01:22.520Z,40.5336667,-124.0213333,22.31,2.5,md,0.12,nc,nc73184416,2019-05-21T17:31:17.767Z,"7km ESE of Hydesville, CA",earthquake,reviewed,nc,nc
